##=============================================================================
## Dados retirados do http://www.whoscored.com/Regions/250/Tournaments/30/Seasons/3871/Stages/8466/TeamStatistics/Europe-UEFA-Europa-League-2013-2014
## country: País de origem do jogador;
## team   : Time no qual joga;
## name   : Nome do jogador;
## pos    : Posição em que joga;
##   FW      : forward;
##   AM      : attack midfielder;
##   M       : midfielder;
##   DM      : defender midfielder;
##   D       : defender;
##   GK      : goalkeeper;
##   C, L, R : center, left, right;
## age    : Idade (anos);
## cm     : altura (cm);
## kg     : Peso (kg);
## apps   : Vezes que jogou como titular (vezes que jogou como substituto);
## goal   : Gols feitos;
## a      : Assistências ou passes para gol;
## yel    : Número de cartões amarelos;
## red    : Número de cartões vermelhos;
## spg    : Chutes a gol por partida;
## ps     : Porcentagem de passes com sucesso;
## aw     : Duelos aéreos ganho por jogo;
## mom    : Man of the match (homem da partida)??
## rt     : Average rating;
##=============================================================================
country	team	name	pos	age	cm	kg	apps	goal	ass	yel	red	spg	ps	aw	mom	rt
Germany	Eintracht Frankfurt	Stefano Celozzi	D(R)	25	171	65	2(6)	NA	NA	1	NA	0.3	77.9	0.4	NA	6.3
Germany	Eintracht Frankfurt	Srdjan Lakic	FW	30	186	85	0(8)	NA	NA	NA	NA	0.6	71.4	0.9	NA	6.24
Germany	Eintracht Frankfurt	Marc Stendera	M	18	171	64	0(4)	NA	NA	NA	NA	0.5	71.4	0.5	NA	6.16
Germany	Eintracht Frankfurt	Felix Wiedwald	GK	24	190	80	0(1)	NA	NA	NA	NA	NA	33.3	NA	NA	6.1
Germany	Eintracht Frankfurt	Tobias Weis	DM(C)	28	170	67	1(3)	NA	NA	NA	NA	0.3	62.1	NA	NA	5.91
Germany	Eintracht Frankfurt	Sonny Kittel	M	21	178	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Netherlands	AZ Alkmaar	Celso Ortiz	DM(C)	25	182	75	22(1)	NA	1	3	NA	0.7	86.9	1.3	2	7.35
Netherlands	AZ Alkmaar	Jeffrey Gouweleeuw	D(C)	22	187	84	29	1	NA	2	NA	0.6	81.7	1.4	NA	7.26
Netherlands	AZ Alkmaar	Mattias Johansson	D(R)	22	171	64	23(1)	4	2	5	NA	1	81.3	0.8	1	7.26
Netherlands	AZ Alkmaar	Simon Poulsen	D(L)	29	187	76	5(3)	NA	NA	1	NA	0.3	81	0.9	NA	7.25
Netherlands	AZ Alkmaar	Roy Beerens	AM(LR)	26	173	63	29	5	5	1	NA	2.1	82.7	0.1	2	7.21
Netherlands	AZ Alkmaar	Nick Viergever	D(CL)	24	182	72	29	3	2	3	1	0.6	79.6	0.8	1	7.1
Netherlands	AZ Alkmaar	Steven Berghuis	AM(R)	22	183	72	11(10)	8	3	NA	NA	2.1	78.5	0.1	2	7.08
Netherlands	AZ Alkmaar	Aron Jóhannsson	FW	23	184	70	27(2)	16	6	3	NA	2.2	76.4	0.8	1	7.04
Netherlands	AZ Alkmaar	Esteban	GK	24	193	88	30	NA	NA	1	NA	NA	61.3	0.2	NA	6.99
Netherlands	AZ Alkmaar	Nemanja Gudelj	M(C)	22	177	73	26	4	3	5	1	1.7	85.3	1.4	3	6.99
Netherlands	AZ Alkmaar	Viktor Elm	M(C)	28	192	87	21(6)	3	NA	2	NA	1.2	73.2	5	1	6.97
Netherlands	AZ Alkmaar	Etiënne Reijnen	D(R)	26	189	80	7(1)	NA	1	1	NA	0.6	82.7	0.9	NA	6.95
Netherlands	AZ Alkmaar	Jan Wuytens	D(C)	28	189	77	24	NA	1	7	NA	0.5	81.8	1.8	NA	6.9
